pasos,ep_rew_mean
5615342,668.1
5621478,670.3
5627393,698.25
5633751,702.8
5639126,675.05
5644345,645.55
5650036,646.7
5656056,669.2
5661768,680.55
5667788,695.3
5674017,712.8
5680433,729.2
5686853,723.65
5692747,726.6
5698333,707.35
5704797,701.95
5710526,709.65
5716297,686.25
5722028,678.95
5728073,682.45
5734781,717.25
5740939,719.25
5747197,744.65
5752795,725.2
5757993,666.9
5763702,653.6
5769144,640.6
5776093,684.75
5782133,701.9
5788474,750.3
5794054,742.15
5799824,690.15
5805563,684.7
5811393,678.05
5816408,670.55
5822549,665.55
5828617,677.65
5833973,688.45
5839208,678.15
5844813,645.05
5850728,622.0
5856521,653.35
5861907,653.6
5867422,655.55
5873273,652.95
5879046,653.45
5884614,669.65
5890072,645.55
5895357,647.0
5900324,613.35
5905984,622.1
5911708,640.45
5917890,676.05
5924076,699.2
5930251,718.35
5936307,722.55
5942293,717.05
5947775,704.2
5953802,690.0
5959296,644.45
5965485,672.7
5971299,672.4
5977298,700.05
5982872,687.15
5988062,665.7
5993923,680.9
5999899,680.55
6005653,700.4
6011062,701.45
6016655,657.55
6021921,633.95
6028011,678.4
6033523,670.4
6039429,674.8
6045931,717.95
6051928,706.85
6058051,727.35
6063524,697.6
6069703,697.55
6075655,698.2
6082023,713.05
6088671,729.35
6094704,748.0
6100867,738.95
6106183,703.75
6112555,719.15
6118430,715.7
6124651,732.2
6129818,684.15
6136062,696.0
6142043,684.85
6147786,695.15
6153527,698.05
6159169,675.65
6165467,700.5
6171444,707.2
6176807,725.05
6183008,700.6
6188738,696.5
6194195,705.0
6200476,707.7
6206811,709.15
6212498,715.1
6217703,689.4
6224019,702.3
6229506,690.05
6235622,718.3
6241664,721.5
6247698,731.35
6253134,708.05
6258780,693.9
6263864,665.2
6269885,684.75
6275203,665.75
6281463,680.05
6287247,694.85
6292663,673.4
6298619,669.95
6305392,689.05
6311518,744.6
6317319,730.35
6323050,724.55
6329335,729.1
6334939,705.4
6341393,710.1
6347086,697.8
6353069,691.15
6357972,674.3
6364515,673.55
6370681,671.15
6376206,653.6
6381768,676.55
6387759,673.85
6393697,685.45
6399291,688.4
6404863,679.95
6410694,690.9
6416553,693.1
6422403,678.05
6428393,717.1
6434109,694.75
6439768,681.1
6445092,681.95
6451636,700.65
6457730,730.9
6464284,777.05
6471277,782.2
6477072,755.35
6483046,740.75
6489047,714.3
6494567,689.6
6500338,699.35
6506384,686.8
6512540,704.6
6518219,714.4
6523563,683.25
6529258,681.15
6535358,686.85
6540814,684.45
6546687,695.8
6552700,707.3
6558505,716.15
6564075,696.2
6569537,679.25
6574903,660.95
6580482,661.0
6586446,663.0
6592162,674.35
6597460,651.8
6603637,684.75
6609564,687.2
6614627,667.3
6620788,709.35
6626881,699.2
6632778,706.15
6637885,709.35
6643502,665.85
6649289,663.3
6655485,688.5
6661297,708.4
6667262,715.55
6673900,749.5
6679668,723.95
6685396,725.05
6690981,707.2
6696515,669.65
6702252,682.4
6707750,675.6
6713703,675.95
6720087,705.45
6726430,726.8
6732501,747.2
6739034,750.9
6745318,763.75
6752162,778.35
6758144,760.0
6764368,751.9
6770290,751.7
6776474,752.65
6782689,748.1
6789410,765.4
6796066,773.35
6802595,777.55
6808712,751.8
6815193,775.25
6820496,743.6
6826619,745.4
6832222,721.4
6838008,702.35
6843587,706.65
6849691,705.65
6855334,692.85
6861071,700.5
6867057,722.6
6874320,757.25
6880323,763.85
6886330,762.15
6891971,726.65
6897734,687.05
6903610,689.7
6909373,685.05
6915573,700.8
6921406,712.9
6927129,706.8
6933168,721.6
6939281,724.1
6945548,728.9
6951134,719.25
6957005,706.25
6962610,713.35
6968667,697.45
6974472,694.6
6980930,729.45
6986889,714.45
6992478,713.45
6997653,684.1
7002933,641.65
7008530,664.2
7014762,671.05
7020731,709.5
7026622,720.55
7032333,708.1
7037628,670.35
7043907,682.35
7049546,675.3
7055560,697.9
7061590,719.0
7067405,706.75
7073651,735.65
7079891,737.9
7085402,707.7
7091249,714.65
7097719,720.4
7103695,702.2
7109240,683.3
7115067,675.35
7121488,697.2
7128018,736.55
7134090,761.8
7139650,751.95
7146157,732.2
7151455,690.9
7156783,658.35
7162709,655.15
7168507,656.0
7174914,691.1
7180677,710.3
7186917,729.1
7192208,698.6
7198278,700.4
7204364,723.85
7210279,734.25
7215766,723.2
7221842,719.1
7227997,736.85
7234130,724.55
7239940,727.8
7245450,702.45
7251661,689.3
7257418,674.6
7262969,688.05
7268253,650.6
7273697,628.8
7279281,647.05
7285321,653.75
7291613,696.9
7297498,716.95
7302969,712.4
7309070,717.15
7314577,675.8
7320168,673.15
7325571,666.6
7331319,655.3
