pasos,ep_rew_mean
2898420,743.65
2904512,747.3
2910576,769.85
2915599,741.3
2921631,727.95
2927258,731.4
2933695,734.85
2938187,727.6
2944086,714.3
2950153,727.3
2955555,705.75
2961149,732.75
2966423,723.45
2972515,720.05
2978249,747.6
2984408,760.4
2990454,770.65
2995565,760.8
3001403,724.6
3007185,717.7
3012312,712.15
3018467,754.45
3024341,764.85
3030178,762.3
3035928,779.35
3041257,755.7
3046743,735.1
3051922,722.7
3058433,725.1
3063514,706.05
3069198,742.3
3074789,744.3
3079814,697.0
3085453,724.65
3091268,730.8
3096942,744.15
3103245,778.65
3108573,766.5
3114564,754.85
3120258,774.3
3125542,760.45
3130656,721.15
3136237,716.2
3142369,732.25
3147490,715.4
3152807,750.8
3158470,750.35
3164032,734.95
3169782,749.2
3174933,731.65
3180475,727.3
3185839,734.85
3190989,699.55
3197085,731.75
3202150,731.45
3207530,729.0
3213156,739.1
3218868,748.25
3224733,759.65
3229769,751.8
3235712,748.95
3241527,745.9
3248052,781.55
3253597,774.4
3258754,762.15
3264922,749.65
3270225,720.6
3276165,741.05
3282101,751.2
3288060,776.5
3294244,796.05
3299859,778.25
3305566,801.0
3311552,791.15
3317664,796.85
3323304,778.7
3328061,732.4
3333273,718.65
3338805,705.05
3344057,710.05
3349734,736.15
3355493,748.75
3361288,763.75
3368352,836.9
3374026,842.05
3380406,846.2
3385597,826.3
3391401,786.95
3397289,774.9
3402324,752.85
3408000,756.7
3413921,778.8
3419246,760.15
3425090,774.05
3430482,751.5
3436143,740.15
3441766,766.75
3446530,738.75
3452854,758.15
3458195,746.15
3464134,745.0
3468810,729.25
3474301,713.8
3480082,719.15
3485985,738.4
3491645,763.85
3497611,775.15
3502906,769.75
3508940,777.85
3514348,780.3
3520952,799.75
3526940,825.25
3532289,790.65
3537605,777.75
3543254,749.55
3549109,761.9
3554258,764.35
3560185,772.6
3565742,763.5
3571380,758.5
3576860,764.25
3582429,752.95
3588252,756.5
3593798,751.45
3599207,748.55
3605067,744.85
3610550,741.05
3616782,771.5
3621785,767.35
3627935,773.45
3634277,787.05
3640526,795.4
3645486,782.7
3651038,771.45
3655720,730.65
3661133,695.6
3666934,728.85
3674094,780.4
3679636,819.35
3684422,789.45
3690077,741.65
3695816,692.65
3700647,680.1
3706605,708.65
3713083,766.7
3718673,760.45
3724758,795.85
3731139,799.9
3736768,776.35
3742741,805.0
3748333,795.7
3753825,780.15
3759506,773.65
3765206,771.8
3771260,784.5
3776802,781.65
3781886,777.75
3787595,773.25
3793152,760.0
3799231,758.85
3804515,783.95
3810475,791.2
3816962,829.45
3822493,809.9
3827957,806.75
3833134,792.75
3838295,752.95
3844039,742.3
3849263,747.7
3854945,751.45
3860964,775.0
3866037,776.5
3872287,768.15
3878318,796.3
3884127,763.45
3889641,785.4
3895668,811.25
3901875,799.6
3908261,820.6
3914843,859.85
3920776,854.2
3926150,831.35
3932500,806.9
3937845,766.9
3943738,776.9
3949430,773.05
3954738,767.9
3960629,771.1
3966362,755.45
3972713,770.3
3978302,786.9
3984573,818.75
